Time,Pleth(%),Event
0402.10:05:47.665178075,-27
0402.10:05:47.675065560,-51
0402.10:05:47.684953045,-82
0402.10:05:47.694840530,-116
0402.10:05:47.704728015,-148
0402.10:05:47.714615500,-176
0402.10:05:47.724502985,-199
0402.10:05:47.734390470,-220
…
